Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
34.238.103.59-10.0.0.237-443-62697-6,34.238.103.59,443,10.0.0.237,62697,6,30/03/2025 07:10:14 p.m.,5262053,14,13,2322.0,606.0,356.0,0.0,165.85714285714283,171.20876017435427,115.0,0.0,46.615384615384606,56.410014568246154,556.436812780107,5.131077167029675,202386.65384615387,332952.9361369792,997578.0,0.0,4737507.0,364423.6153846154,459014.6678490675,1084042.0,0.0,5261951.0,438495.91666666674,401957.1107015497,997578.0,10304.0,1,0,0,0,280,260,2.660558531052424,2.4705186359772506,0.0,356.0,117.28571428571429,145.8291382616573,21266.137566137564,1,0,0,18,27,0,0,0,0.0,121.62962962962963,165.85714285714286,46.61538461538461,0,0,0,0,18,618,0,86,0,22,198,251,11,20,0,0,0,0,1.743387016382388E15,1432297.641100817,1.743387018755236E15,1.74338701401767E15,No Label
34.238.103.59-10.0.0.237-443-62697-6,34.238.103.59,443,10.0.0.237,62697,6,30/03/2025 07:10:19 p.m.,0,2,0,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,40,0,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,1,0,0,1,2,0,0,0,0.0,24.0,12.0,0.0,0,0,0,0,0,0,1,12,0,0,198,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.237-54.174.145.66-62714-443-6,10.0.0.237,62714,54.174.145.66,443,6,30/03/2025 07:10:19 p.m.,348370,5,7,1931.0,799.0,1387.0,0.0,386.2,601.255935521638,395.0,0.0,114.14285714285714,156.78587156950567,7836.495679880586,34.44613485661796,31670.0,44410.73606010151,109736.0,0.0,238634.0,59658.5,39482.29338576978,82743.0,690.0,274343.0,45723.83333333333,51103.76046600354,109904.0,0.0,0,0,0,0,112,152,14.352556190257484,20.09357866636048,0.0,1387.0,209.99999999999997,393.40161836643904,154764.83333333334,1,2,0,6,11,0,0,0,1.0,227.5,386.2,114.14285714285714,0,0,0,0,6,9984,0,160,0,66,65535,180,3,20,0,0,0,0,1.7433870195059405E15,104720.41675982914,1.743387019694097E15,1.743387019346111E15,No Label
10.0.0.237-54.174.145.66-62714-443-6,10.0.0.237,62714,54.174.145.66,443,6,30/03/2025 07:10:19 p.m.,1522,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,15768.725361366623,1971.090670170828,761.0,12.727922061357855,770.0,752.0,1522.0,761.0,12.727922061357855,770.0,752.0,0,0,0,0,0,0,0,0,0,60,0,1971.090670170828,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,252,0,1,20,0,0,0,0,0,0,0,0,No Label
10.0.0.237-54.174.145.66-62716-443-6,10.0.0.237,62716,54.174.145.66,443,6,30/03/2025 07:10:20 p.m.,325457,5,7,1931.0,799.0,1387.0,0.0,386.2,601.255935521638,395.0,0.0,114.14285714285714,156.78587156950567,8388.204893426782,36.871230300777064,29587.000000000004,40867.27390957219,92258.0,0.0,233199.0,58299.75,38405.33491912289,79895.0,749.0,249568.0,41594.666666666664,45853.27437235717,92432.0,0.0,0,0,0,0,112,152,15.363012625323776,21.508217675453285,0.0,1387.0,209.99999999999997,393.40161836643904,154764.83333333334,1,2,0,6,11,0,0,0,1.0,227.5,386.2,114.14285714285714,0,0,0,0,6,10980,0,160,0,66,65535,180,3,20,0,0,0,0,1.743387020507464E15,98259.36110790218,1.743387020675764E15,1.743387020350687E15,No Label
10.0.0.237-54.174.145.66-62716-443-6,10.0.0.237,62716,54.174.145.66,443,6,30/03/2025 07:10:20 p.m.,1965,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,12213.740458015267,1526.7175572519084,982.5,174.65537495307723,1106.0,859.0,1965.0,982.5,174.65537495307723,1106.0,859.0,0,0,0,0,0,0,0,0,0,60,0,1526.7175572519084,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,252,0,1,20,0,0,0,0,0,0,0,0,No Label
10.0.0.237-54.174.145.66-62717-443-6,10.0.0.237,62717,54.174.145.66,443,6,30/03/2025 07:10:21 p.m.,589644,5,7,1931.0,799.0,1387.0,0.0,386.2,601.255935521638,395.0,0.0,114.14285714285714,156.78587156950567,4629.912286057351,20.351262795856485,53604.0,85856.82001099271,263885.0,0.0,500500.0,125125.0,108233.9347986573,264092.0,764.0,325759.0,54293.16666666667,60803.494453581094,129219.0,0.0,0,0,0,0,112,152,8.479692831606869,11.871569964249616,0.0,1387.0,209.99999999999997,393.40161836643904,154764.83333333334,1,2,0,6,11,0,0,0,1.0,227.5,386.2,114.14285714285714,0,0,0,0,6,8405,0,160,0,66,65535,121,3,20,0,0,0,0,1.7433870217058565E15,174064.25056473314,1.743387021928713E15,1.74338702133945E15,No Label
10.0.0.237-54.174.145.66-62717-443-6,10.0.0.237,62717,54.174.145.66,443,6,30/03/2025 07:10:21 p.m.,1907,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,12585.212375458836,1573.1515469323544,953.5,94.04520189781083,1020.0,887.0,1907.0,953.5,94.04520189781083,1020.0,887.0,0,0,0,0,0,0,0,0,0,60,0,1573.1515469323544,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,252,0,1,20,0,0,0,0,0,0,0,0,No Label
10.0.0.237-54.174.145.66-62718-443-6,10.0.0.237,62718,54.174.145.66,443,6,30/03/2025 07:10:22 p.m.,363889,5,7,1931.0,799.0,1387.0,0.0,386.2,601.255935521638,395.0,0.0,114.14285714285714,156.78587156950567,7502.287785560981,32.97708916730102,33080.818181818184,45814.625836774394,101839.0,0.0,269257.0,67314.25,45384.16190974556,102728.0,728.0,279536.0,46589.33333333333,51462.48152456959,102764.0,0.0,0,0,0,0,112,152,13.740453819708756,19.23663534759226,0.0,1387.0,209.99999999999997,393.40161836643904,154764.83333333334,1,2,0,6,11,0,0,0,1.0,227.5,386.2,114.14285714285714,0,0,0,0,6,9798,0,160,0,66,65535,180,3,20,0,0,0,0,1.7433870225554992E15,111797.78746001981,1.743387022737697E15,1.743387022374112E15,No Label
10.0.0.237-54.174.145.66-62718-443-6,10.0.0.237,62718,54.174.145.66,443,6,30/03/2025 07:10:22 p.m.,1496,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,16042.780748663103,2005.3475935828878,748.0,46.66904755831214,781.0,715.0,1496.0,748.0,46.66904755831214,781.0,715.0,0,0,0,0,0,0,0,0,0,60,0,2005.3475935828878,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,252,0,1,20,0,0,0,0,0,0,0,0,No Label
